tweet_id,retweet_count,favorite_count,create_date
818145370475810820,3014,13671,2017-01-08 17:20:31+00:00
817908911860748288,906,5356,2017-01-08 01:40:55+00:00
817827839487737858,31314,57622,2017-01-07 20:18:46+00:00
817777686764523521,3084,11901,2017-01-07 16:59:28+00:00
817536400337801217,3505,13105,2017-01-07 01:00:41+00:00
817502432452313088,3917,0,2017-01-06 22:45:43+00:00
817423860136083457,17504,38260,2017-01-06 17:33:29+00:00
817415592588222464,1131,6267,2017-01-06 17:00:38+00:00
817181837579653120,9907,0,2017-01-06 01:31:47+00:00
817171292965273600,2326,9690,2017-01-06 00:49:53+00:00
817120970343411712,3011,13367,2017-01-05 21:29:55+00:00
